,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Est_Votes_Remain,Population
2024-11-05 12:20:37.526938,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:20:56.906254,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:21:16.381025,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:21:38.864049,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:21:51.420039,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:22:16.357443,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:22:30.904463,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:22:45.363244,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:22:57.694702,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:24:32.748159,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:24:49.328720,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:25:08.593034,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:25:20.777649,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:25:40.291510,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:25:56.289498,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:26:14.032500,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:26:33.858952,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:26:56.859033,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:27:19.569921,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:27:34.216663,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:27:49.293656,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:28:08.544331,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:28:25.086218,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:28:38.387251,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:28:56.163113,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:29:19.083271,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:29:35.899571,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:29:55.901588,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:30:16.470737,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:30:34.054532,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:30:50.133033,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:31:04.363279,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:31:18.108630,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:31:32.088229,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:31:46.380411,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:32:03.948229,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:32:25.738889,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:32:47.468841,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:33:03.834548,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:33:28.743706,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:33:47.517854,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:34:04.078436,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:34:22.851637,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:34:36.412390,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:34:55.442,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:35:20.376721,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:35:33.026821,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:35:49.263595,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:36:02.494429,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:36:17.580073,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:36:37.351173,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:36:58.283732,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:37:22.034194,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:37:44.986935,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:38:04.860078,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:38:26.215281,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:38:38.274551,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:38:56.474343,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:39:19.963952,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:39:37.742651,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:39:59.927294,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:40:23.324144,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:40:35.894306,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:40:56.378714,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:41:17.375306,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:41:31.181410,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:41:48.909819,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:42:06.080245,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:42:19.416434,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:42:40.658742,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:42:54.895899,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:43:10.742597,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:43:26.560761,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:43:48.554603,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:44:06.769235,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:44:31.140548,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:44:51.951359,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:45:15.182060,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:45:38.965703,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:46:02.194372,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:46:16.269195,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:46:40.854925,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:46:56.959970,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:47:13.347015,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:47:33.440303,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:47:55.391443,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:48:16.800110,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:48:31.453874,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:48:43.638379,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:49:01.018498,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:49:18.378192,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:49:34.647923,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:49:46.765757,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:50:08.112630,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:50:29.059415,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:50:43.765075,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:51:08.982643,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:51:21.030969,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:51:42.748066,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:51:59.946164,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:52:13.384958,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:52:28.353308,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:52:50.409383,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:53:14.542738,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:53:29.396757,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:53:47.130421,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:54:08.229979,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:54:29.850108,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:54:50.233380,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:55:08.496112,0,0.000,0,0.000,0.000,3201856,5910955
