"State","Registered_Voters_In_Thousands","Registered_Voters_As_Percent_Of_Voting_Age_Population"
"Alabama",2527,68
"Alaska",383,74.2
"Arizona",3878,76.4
"Arkansas",1361,62
"California",18001,69.4
"Colorado",2993,71.3
"Connecticut",1850,73.3
"Delaware",542,75.1
"District of Columbia",464,86.9
"Florida",10495,67.1
"Georgia",5233,70.7
"Hawaii",673,68.7
"Idaho",900,69.3
"Illinois",6590,74.4
"Indiana",3412,69.3
"Iowa",1742,76
"Kansas",1398,70.8
"Kentucky",2450,75.9
"Louisiana",2286,69.3
"Maine",832,77.4
"Maryland",3383,78.6
"Massachusetts",3546,72.4
"Michigan",5513,73.8
"Minnesota",3436,82.9
"Mississippi",1749,80.4
"Missouri",3388,75.7
"Montana",641,77.5
"Nebraska",971,70.9
"Nevada",1455,66.2
"New Hampshire",843,78.3
"New Jersey",5008,84.6
"New Mexico",1028,68.6
"New York",9370,70.5
"North Carolina",5161,69.8
"North Dakota",429,77.3
"Ohio",6733,77
"Oklahoma",1884,67.3
"Oregon",2590,79.9
"Pennsylvania",7337,76.3
"Rhode Island",575,74.1
"South Carolina",2713,70
"South Dakota",437,67.4
"Tennessee",3742,74.3
"Texas",13343,71.8
"Utah",1468,67.4
"Vermont",365,73
"Virginia",4541,76
"Washington",4029,74.8
"West Virginia",928,67.3
"Wisconsin",3391,76.7
"Wyoming",296,69.3
"United States",168303,72.61339483128266